Keywords,SERP Url,04.12.2025 14:59,24.10.2025 10:16,15.07.2025 13:50,19.06.2025 11:33,16.06.2025 16:19,03.03.2025 09:00,08.03.2024 16:56,09.02.2024 10:19,05.07.2023 13:37,05.06.2023 12:59,,02.05.2023 13:59,02.05.2023 13:41,20.04.2023 09:58,13.04.2023 14:16,05.04.2023 09:32,30.03.2023 12:08,23.03.2023 09:31,16.03.2023 10:21,09.03.2023 10:00,23.02.2023 13:20,16.02.2023 12:02,14.02.2023 16:26,09.02.2023 14:33,02.02.2023 11:00,26.01.2023 15:33,11.01.2023 20:22,02.01.2023 16:39,29.12.2022 10:20,22.12.2022 11:58,15.12.2022 09:52,08.12.2022 14:34,29.11.2022 13:48,23.11.2022 10:13,09.10.2022 15:44,04.10.2022 12:59,22.09.2022 11:39,12.09.2022 09:46,07.09.2022 13:27,01.09.2022 14:36,25.08.2022 15:40,15.08.2022 15:48,11.08.2022 14:34,26.07.2022 13:52
mole pest removal near me,https://got-moles.com/,3.0,3.0,3.0,4.0,NA,NA,NA,NA,NA,NA,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,5.0,6.0,10.0,19.0,19.0,11.0,43.0
mole pest removal puyallup,https://got-moles.com/mole-control-puyallup/,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,5.0,8.0,10.0,19.0,19.0,9.0,43.0
mole pest removal redmond,https://got-moles.com/mole-trapping-redmond/,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,8.0,3.0,8.0,8.0,7.0,9.0,8.0,>100
mole pest removal renton,https://got-moles.com/mole-control-renton/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,8.0,8.0,8.0,7.0,5.0,9.0,8.0,>100
mole pest removal seatac,https://got-moles.com/seatac/,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,10.0,7.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,10.0,5.0,23.0,26.0,21.0,22.0,50.0
mole pest removal seattle,https://got-moles.com/,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,6.0,50.0,25.0,25.0,23.0,49.0
mole pest removal shoreline,https://got-moles.com/shoreline/,3.0,3.0,4.0,27.0,43.0,4.0,21.0,20.0,60.0,>100,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,7.0,6.0,8.0,8.0,7.0,7.0,25.0
mole pest removal tacoma,https://got-moles.com/mole-trapping-tacoma/,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,7.0,6.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,6.0,6.0,7.0,9.0,6.0,6.0,24.0
mole pest removal tukwila,https://got-moles.com/tukwila/,1.0,2.0,2.0,2.0,2.0,1.0,12.0,13.0,14.0,6.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,6.0,8.0,8.0,20.0,8.0,9.0,52.0
mole pest removal woodinville,https://got-moles.com/mole-control-woodinville/,1.0,3.0,3.0,5.0,5.0,4.0,14.0,17.0,>100,13.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,4.0,7.0,18.0,20.0,7.0,7.0,52.0
mole problem bellevue,https://got-moles.com/mole-control-bellevue/,2.0,4.0,3.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,23.0,21.0,20.0,45.0
mole problem buckley,https://got-moles.com/mole-control-buckley/,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,7.0,23.0,19.0,21.0,>100
mole problem burien,https://got-moles.com/mole-control-burien/,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,36.0,NA,NA,NA,NA,NA
mole problem covington,https://got-moles.com/mole-control-covington/,2.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,29.0,NA,NA,NA,NA,NA
mole problem des moines,https://got-moles.com/mole-control-des-moines/,4.0,3.0,8.0,9.0,9.0,26.0,34.0,6.0,24.0,24.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,11.0,9.0,11.0,13.0,11.0,9.0,41.0
mole problem enumclaw,https://got-moles.com/mole-control-enumclaw/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0,12.0,14.0,12.0,>100,11.0,10.0,41.0
mole problem federal way,https://got-moles.com/mole-repellant-federal-way/,3.0,3.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,>100
mole problem fife,https://got-moles.com/mole-control-fife/,1.0,2.0,2.0,>100,>100,2.0,>100,>100,>100,>100,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,6.0,6.0,7.0,7.0,6.0,>100
mole problem issaquah,https://got-moles.com/issaquah-mole-control/,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,9.0,8.0,4.0,4.0,6.0,7.0,6.0,4.0,27.0,31.0,33.0,22.0,>100,>100,>100,>100,>100,>100
mole problem kenmore,https://got-moles.com/mole-exterminators-seattle/,5.0,2.0,6.0,2.0,2.0,1.0,>100,>100,>100,>100,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,4.0,2.0,2.0,9.0,4.0,4.0,4.0,6.0,7.0,7.0,4.0,22.0,29.0,34.0,16.0,>100,>100,>100,>100,>100,>100
mole problem kent,https://got-moles.com/mole-control-kent/,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,6.0,6.0,6.0,6.0,5.0,5.0,5.0,9.0,11.0,7.0,7.0,7.0,7.0,7.0,7.0,11.0,6.0,6.0,14.0,10.0,8.0,13.0,9.0,24.0,25.0,28.0,27.0,>100,>100,>100,>100,>100,>100
mole problem kirkland,https://got-moles.com/mole-control-kirkland/,6.0,6.0,7.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,,7.0,7.0,6.0,6.0,5.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,15.0,6.0,6.0,6.0,7.0,8.0,13.0,9.0,19.0,25.0,27.0,23.0,>100,>100,>100,>100,>100,>100
mole problem maple valley,https://got-moles.com/mole-control-maple-valley/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,7.0,9.0,8.0,>100,>100,>100,>100,>100,>100
mole problem puyallup,https://got-moles.com/mole-trapping-puyallup/,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,8.0,9.0,8.0,>100,>100,>100,>100,>100,>100
mole problem redmond,https://got-moles.com/mole-control/,6.0,10.0,4.0,5.0,6.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,7.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,13.0,12.0,27.0,8.0,>100,>100,>100,>100,>100,>100
mole problem renton,https://got-moles.com/mole-control-renton/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,3.0,2.0,2.0,4.0,>100,12.0,12.0,25.0,9.0,>100,>100,>100,>100,>100,>100
mole problem seatac,https://got-moles.com/mole-control-seatac-2/,1.0,2.0,1.0,4.0,5.0,5.0,3.0,2.0,5.0,6.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole problem seattle,https://got-moles.com/,7.0,3.0,6.0,10.0,13.0,10.0,1.0,1.0,3.0,2.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole problem shoreline,https://got-moles.com/mole-trapping-seattle/,9.0,6.0,4.0,>100,>100,>100,>100,19.0,>100,>100,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,5.0,9.0,6.0,9.0,6.0,>100,>100,>100,>100,>100,>100
mole problem tacoma,https://got-moles.com/mole-trapping-tacoma/,1.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0,6.0,9.0,6.0,>100,>100,>100,>100,>100,>100
mole problem tukwila,https://got-moles.com/,3.0,2.0,3.0,1.0,1.0,1.0,27.0,52.0,54.0,>100,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,9.0,8.0,14.0,>100,>100,>100,>100,>100
mole problem woodinville,https://got-moles.com/woodinville/,6.0,6.0,4.0,4.0,3.0,>100,98.0,84.0,>100,>100,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,7.0,8.0,10.0,8.0,>100,>100,>100,>100,>100,>100
mole rabies,https://got-moles.com/do-moles-carry-diseases/,6.0,6.0,12.0,8.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,7.0,10.0,8.0,>100,>100,>100,>100,>100,>100
mole removal bellevue,https://got-moles.com/mole-control-bellevue/,22.0,24.0,12.0,15.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,7.0,10.0,10.0,>100,>100,>100,>100,>100,>100
mole removal companies near me,https://got-moles.com/mole-control-renton/,5.0,3.0,4.0,5.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal from yard near me,https://got-moles.com/mole-control-issaquah/,4.0,3.0,2.0,3.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal kirkland,https://got-moles.com/mole-control-kirkland/,20.0,41.0,15.0,10.0,NA,NA,NA,NA,NA,NA,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,9.0,6.0,34.0,>100,>100,>100,>100,>100
mole removal pest control,https://got-moles.com/,4.0,3.0,2.0,1.0,NA,NA,NA,NA,NA,NA,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,9.0,6.0,13.0,>100,>100,>100,>100,>100
mole removal seattle,https://got-moles.com/,20.0,13.0,17.0,20.0,NA,NA,NA,NA,NA,NA,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,6.0,6.0,9.0,7.0,18.0,23.0,35.0,>100,>100,>100
mole removal service,https://got-moles.com/,9.0,2.0,3.0,3.0,NA,NA,NA,NA,NA,NA,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,10.0,7.0,18.0,25.0,34.0,>100,>100,>100
mole removal service bellevue,https://got-moles.com/mole-control-bellevue/,17.0,18.0,9.0,13.0,9.0,8.0,5.0,5.0,8.0,8.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,7.0,9.0,7.0,>100,>100,>100,>100,>100,>100
mole removal service buckley,https://got-moles.com/mole-control-buckley/,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,10.0,7.0,>100,>100,>100,>100,>100,>100
mole removal service burien,https://got-moles.com/mole-control-burien/,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,7.0,5.0,4.0,9.0,9.0,14.0,9.0,>100,>100,>100,>100,>100,>100
mole removal service covington,https://got-moles.com/mole-control-covington/,3.0,1.0,2.0,3.0,3.0,2.0,4.0,16.0,>100,44.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,7.0,4.0,7.0,7.0,4.0,10.0,10.0,14.0,7.0,>100,>100,>100,>100,>100,>100
mole removal service des moines,https://got-moles.com/mole-control-orting/,3.0,2.0,9.0,7.0,7.0,8.0,8.0,8.0,>100,>100,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,14.0,9.0,>100,>100,>100,>100,>100,>100
mole removal service enumclaw,https://got-moles.com/mole-control-enumclaw/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,8.0,13.0,9.0,>100,>100,>100,>100,>100,>100
mole removal service federal way,https://got-moles.com/mole-control-federal-way/,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service fife,https://got-moles.com/mole-control-fife/,2.0,3.0,3.0,>100,8.0,5.0,10.0,9.0,>100,>100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service issaquah,https://got-moles.com/mole-control-issaquah/,2.0,2.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service kenmore,https://got-moles.com/mole-control/,3.0,4.0,2.0,2.0,2.0,1.0,9.0,11.0,6.0,3.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service kent,https://got-moles.com/mole-control-kent/,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service kirkland,https://got-moles.com/kirkland/,4.0,7.0,8.0,8.0,7.0,8.0,2.0,2.0,4.0,3.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service maple valley,https://got-moles.com/mole-control-maple-valley/,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service puyallup,https://got-moles.com/mole-control-puyallup/,3.0,4.0,6.0,4.0,4.0,4.0,2.0,3.0,5.0,3.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service redmond,https://got-moles.com/mole-trapping-redmond/,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service renton,https://got-moles.com/mole-control-renton/,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service seatac,https://got-moles.com/mole-control-seatac-2/,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service seattle,https://got-moles.com/,3.0,2.0,3.0,3.0,3.0,8.0,2.0,4.0,1.0,1.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service shoreline,https://got-moles.com/shoreline/,3.0,4.0,4.0,>100,6.0,5.0,11.0,17.0,79.0,43.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal services near me,https://got-moles.com/,8.0,5.0,3.0,5.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service tacoma,https://got-moles.com/mole-control-tacoma/,4.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,11.0,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service tukwila,https://got-moles.com/tukwila/,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,9.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service woodinville,https://got-moles.com/mole-control-woodinville/,1.0,1.0,1.0,1.0,1.0,1.0,17.0,19.0,>100,11.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal tacoma,https://got-moles.com/mole-control-tacoma/,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole repellant bellevue,https://got-moles.com/mole-control-bellevue/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole repellant burien,https://got-moles.com/mole-control-burien/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole repellant enumclaw,https://got-moles.com/mole-control-enumclaw/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,8.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole repellant federal way,https://got-moles.com/mole-repellant-federal-way/,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,10.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole repellant issaquah,https://got-moles.com/mole-control-issaquah/,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole repellant kent,https://got-moles.com/mole-control-kent/,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole repellant kirkland,https://got-moles.com/kirkland/,5.0,6.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole repellant maple valley,https://got-moles.com/mole-control-maple-valley/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
